,0
1800,6
1801,7
1802,6
1803,6
1804,6
1805,5
1806,1
1807,6
1808,7
1809,7
1810,11
1811,11
1812,11
1813,11
1814,11
1815,11
1816,8
1817,8
1818,7
1819,7
1820,7
1821,7
1822,7
1823,9
1824,9
1825,7
1826,9
1827,9
1828,1
1829,9
1830,8
1831,9
1832,9
1833,9
1834,6
1835,7
1836,7
1837,6
1838,6
1839,6
1840,10
1841,6
1842,1
1843,6
1844,1
1845,7
1846,9
1847,6
1848,4
1849,4
1850,4
1851,4
1852,4
1853,4
1854,4
1855,4
1856,4
1857,4
1858,4
1859,4
1860,4
1861,4
1862,4
1863,4
1864,4
1865,4
1866,4
1867,4
1868,10
1869,10
1870,10
1871,4
1872,4
1873,4
1874,4
1875,4
1876,4
1877,4
1878,4
1879,4
1880,4
1881,4
1882,4
1883,4
1884,4
1885,4
1886,4
1887,4
1888,4
1889,4
1890,4
1891,4
1892,4
1893,4
1894,4
1895,4
1896,10
1897,10
1898,8
1899,8
1900,8
1901,8
1902,8
1903,8
1904,8
1905,8
1906,8
1907,8
1908,8
1909,8
1910,8
1911,8
1912,8
1913,8
1914,8
1915,8
1916,7
1917,7
1918,7
1919,7
1920,7
1921,7
1922,7
1923,7
1924,7
1925,7
1926,7
1927,7
1928,7
1929,9
1930,1
1931,10
1932,9
1933,6
1934,1
1935,2
1936,1
1937,7
1938,2
1939,1
1940,2
1941,7
1942,9
1943,1
1944,2
1945,7
1946,9
1947,2
1948,7
1949,2
1950,6
1951,1
1952,7
1953,9
1954,2
1955,6
1956,8
1957,2
1958,10
1959,8
1960,7
1961,8
1962,8
1963,8
1964,7
1965,8
1966,7
1967,7
1968,8
1969,8
1970,7
1971,8
1972,8
1973,7
1974,8
1975,8
1976,8
1977,7
1978,0
1979,0
1980,9
1981,0
1982,0
1983,0
1984,0
1985,11
1986,11
1987,11
1988,11
1989,0
1990,0
1991,11
1992,11
1993,9
1994,7
1995,1
1996,1
1997,1
1998,9
1999,0
2000,0
2001,0
2002,0
2003,0
2004,11
2005,11
2006,0
2007,0
2008,0
2009,0
2010,0
2011,11
2012,0
2013,0
2014,11
2015,11
2016,0
2017,0
2018,0
2019,0
2020,0
2021,11
2022,11
2023,0
2024,2
2025,2
2026,2
2027,2
2028,2
2029,2
2030,2
2031,1
2032,2
2033,1
2034,2
2035,2
2036,2
2037,10
2038,10
2039,10
2040,5
2041,5
2042,5
2043,5
2044,5
2045,1
2046,8
2047,8
2048,7
2049,8
2050,8
2051,8
2052,8
2053,8
2054,8
2055,8
2056,7
2057,8
2058,8
2059,7
2060,8
2061,8
2062,7
2063,8
2064,8
2065,7
2066,7
2067,7
2068,8
2069,7
2070,7
2071,7
2072,7
2073,8
2074,8
2075,8
2076,7
2077,8
2078,7
2079,7
2080,7
2081,8
2082,4
2083,4
2084,4
2085,4
2086,4
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,10
2095,4
2096,10
2097,3
2098,3
2099,3
2100,3
2101,3
2102,3
2103,3
2104,3
2105,3
2106,6
2107,1
2108,6
2109,6
2110,6
2111,6
2112,9
2113,7
2114,9
2115,7
2116,6
2117,7
2118,6
